Roles,Companies,Salary,Location,Descriptions,Links
Data Scientist - Cricket,Pythia Sports,"£50,000 - £53,500 a year",London SW1V,"Have a deep understanding of the data, its limitations and meaning, including the investigation of data validity.
Uncover trends in multiple sports datasets.",https://uk.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DPD0bt9JAdjOubXaOlasaA9cSAf68lccJAaPUaYP7D2edPLsDx0ar8XThu-7o1QUdMe1KZi_dg81JEou5LKPb33iSLV4MRRGZ4aO84UifyWCAIOU5Kfwknh0RzxoVcVfqSC0eQ2liYGG6k0wHFJ1XQ8sz75MgtTvsTKA9KO269O21knsIHhipYrAYRWp2Qm8SMQaLi_k7BsnPiiA37n329mbphBnPUyh4s1pGLnyeSVzdvZsE_36oad51nurK-xtTkok2Pe6CfIIKwWf3s_RssYUTHD22bHuvJxMT8gmydZLCpcP1jNosTSN_NpOtO0BL172NRQEtPleSBS530PZAODCRpNXiRDI3AyhW05hdqJ5KJ4T1H_hTigGHzyv7TOIJeqrswlVXPXzxBcjr0oUreYQhqHOmIrcXoK6SZIDhNQR5xIVKl2kHuogQHOCj7PlHkfHsd7paoSB3rYkMC6xZ6z6hvWXuN9ArhpwD3vfNTECS2mNzb9QJWVAIH44l8q8F1zYRJmiewHCclf4mM9KcS81N08WhPA78=&xkcb=SoDq-_M3Nf96GUwFrR0LbzkdCdPP&p=0&fvj=1&vjs=3
Sports Data Scientist,Pythia Sports,"Up to £29,706 a year",Hybrid remote in London SW1V,"Have a deep understanding of the data, its limitations and meaning, including the investigation of data validity.
Uncover trends in multiple sports datasets.",https://uk.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DPD0bt9JAdjOubXaOlasaA9cSAf68lccJAaPUaYP7D2dMXqwH-Y-cVPG47YrOR2g8ZRcS2iRCoiQSEs6T7BBbb4kN9f4ho5GHsHTYY2FO5BYmp-h7HCdqdSkYoNi_c3WDUV5aHsYzUOHXhOEqfSTJTGAAZLKhKA28C34ZDOwQ-FPWXH4B1nsn9_odgXTMBXABAP7_RYGjDMCFy8U6F_qBSUjCXkVkyXRdy7XarB8TlWNKj-sbYgaqZ7kd4Pi9G_yfdizEcJKTrCMl0qVxAqzV-sPF6xDuXNo3RXRhz9kCJ03cPrA5XJzh30L9_sC8OqqUsw70xXXOnjYp447Tb_4f8l5hGRAI1rS4dMRE2YiuVbj1ukgN6Eo3XK0I636OltZcpWQzJHhiLpTrNLpPatZ6IZsy21Q_dwZhgKTDdLa5RUtIJ2D4tvkXQ7NRS6WrxWpks6-63-gTVIvHQ5noYxDGGBtQu3xjEQcQqFvUIu7ILpkP2RwI8e3mUBOUZKi-rK5nBxoawhhJBt8_dI9ScvhFb&xkcb=SoBe-_M3Nf96GUwFrR0KbzkdCdPP&p=1&fvj=1&vjs=3
Principal data scientist,BP Energy,"£50,000 - £75,000 a year",Remote in London WC2N,"Familiarity with data infrastructure and data management technologies.
Leads, grows and develops a team of data scientists that derives actionable business…",https://uk.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AJuMufQUticbCEoYTKm6Qi4JXfmZ22JgbUMD2ChcmVNK_btDYk7qbI3EkAWN1MAV29tzSWrx-3zPIWmJRvPYwFqqXkUbewU2V0alnTDwLU0qVQFPRGqNA1n3LjrOw0qJ03ceBD3lvoqQJjFL9_0v0CKVgNo1Is8N2riEhgwaEIkvmNSfVq4Etz-u1yDJoe2LRY1uprGD6bQlFigL63LT4hNvjnIQ-p3xLZyWAo4ppk4jM3YM06k2xWAqwUKRmW5_IvD11qQ8pX9CuVz_gozKqNWIUKDOyRzCiOPPznWyJeeST2i0dxN3Es_XhZ5SggB6UJPCstDzNrxVAqMQahAn3G4ClrB4zEaAjpDylqR9sE-DVzaME5Be8xZJeqkQ7e-r1LBhwH9vlIKqAXrDD96a4auzaLqrDnHUyzMlKq-8ioyr52Ssk7lMYuCs_bSiK60CUcbVYH0ctXpg6DQwCPOw8MgHh-JzEZbbJML7BmyqtgV-vDgOL9v0_WrjYxOjX4ffoKdXxMdRDXKvnQcj-6ukHB&xkcb=SoDD-_M3Nf96GUwFrR0JbzkdCdPP&p=2&fvj=0&vjs=3
Machine Learning Product Manager,LNER,"£80,000 - £100,000 a year",London,Implement the business engagement strategy to encourage a data driven culture and keep key stakeholders involved in the data science journey.,https://uk.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BYQMsSoizs2Xd5zzAR4Wv9luvp4QBhU08swI8Aq7BzElDgzlYcDpSC8K0tZwXSBg1hmDZCPJ_rAfj3Oa3NqEUjY30JvseqqN7x2CEhWburht0ATpetcqsHrUTr2CtjaBkgVqs4v8R2c-wpM0fXdac2a2gWt6XAdWkfgTOATeW50hE3rPHWlBHuvQBK534Uy7l1QdG2pijBGwiLJlSFmto-Bhy9KQ5b0KMnK7FvrE_Xuvffk5hFVzoT7awoCXU_ewXfL65vE0tsXfP_dqPvirnePXm8u5bfWihWLLKdxVmmJSibITfI5w9yESYkBWgPOTNvcbCCvFO4mDAUUEKkbRY6DhY8UNwMAxH-SAlqlFj09VcQl-RnS_DvPBu5OT7sR9V-p11wJEDAobTwj4dlegGboJTQSagL1zKpuPoUDadQPEQ3kCBypSUWTYzMXFnIM2th0GAXHaAhfKCNl8IvBnJguv5J9hH4tZhzoLTsmeakQ1NDCgm9ggxnlW21moaaes5APaG3TftWoYlToNXPQ8P25Ruj7zzHRFoYcby5UjomiuYlvEUhrNc2lDlYTUPB9gtfKqxzVA87n-bY34KsV5EjXR6dQZ1u8hLsyqg_f48AoA==&xkcb=SoB3-_M3Nf96GUwFrR0IbzkdCdPP&p=3&fvj=0&vjs=3
Revenue Management Analytics & Reporting Analyst,Hertz Europe,"£42,250 - £57,550 a year",Uxbridge,"Good understanding of the challenges and issues involved in examining data and creating solutions to deal with data issues including duplication, missing…",https://uk.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ATGsLorE1nU8tcvwSsUTJrHP4pPpL8i6_VcMiABmLiGC0KMEsI-4OL-2YEN7Wq9Iqo4UaBacWGcPte2rSKlxYuJbrA6JT7MZSRJYQViu_gwQwJUTA6XiNTuFH12MkFPhRJ3i7IxuwCnkzEpmB337cyESr2cRpEXn2rwbOFou51FO7YYC_8UHawjkatkwHHh-l4lwcNs90y88Elxcq9UII176bsNTUTQLJLNvJLfXNkNUX5U-o2YrXAvRqCk6RsK2CUb0L93TFHXMghVMDg85s8rvNzWjZecxW27T23I0tRk6ymRX7zsP9rxvHxKZUnyEWAVxcsTDDyB61OsdEFX4IGC9xnengWTi5yLwyVlSKBCVogcfwzmwIpuh8ZaAMImBZ-txn7iLQ8nS1Su8tPwQNVOkPBp2lhhCIdESTPpy_ERow98okK0Y2WqeP-yigbfky6zIDPnM6Xe7Hz40EYIhFfgfWT4_31qsFB62JXYLkbBX3m06j-kNvuLC-nrIAdW9SaSzbu2uMyGySU7H0kTTB4lxi7ZGup5dDTmKm5b6UkfHxGjFLgHTTsWzXgMSjV8rHFAk-sMpRzAA==&xkcb=SoD5-_M3Nf96GUwFrR0PbzkdCdPP&p=4&fvj=0&vjs=3
Flood Risk Data Analyst Officer,Environment Agency,,Hybrid remote in England,"You will likely have a bachelor’s degree in data science, geography, engineering or other related subject.
Has some experience in data management and analysis,…",https://uk.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Dsrb-ySuU92ebKpgx-j3ip77wf_iTWOWjX3o4GFc_nBoLP7ZDdB4e-TrLk6NnM6XH2UX4BXkijnTwX9LnYLM-_DP3Dfzfs1VsDeA2KDMy8WIC8KvK1Wm9QYqcOYSSb56iNcHltIQqHGREKthIn7byrIAxM-TwBZ7D91NDrRmt3Gq13W6oz49jTdvnThoJjGP41r8bhvWmSaUiZ-kQZri5Yz_WTh9TRaxCH9USwXUji8nY-jVtwd_o-k9blW_IW94z3pIOETuo1jKZJfwR5BDnfX6NhmGd573O-RRUS617InCJaFdDmT2GbJzhiHIZzO0-Msfzs19pf_dM0utfrYiFbKHCE6L_l9x5LI0nxgEeCcakgw8DA_8yG0FVHX_l4WtSFcugDwyUB0aCHIUh935kbzQ1bU8WWp6sGvXKwHImu2TNhBb_98ejoEKaTHrRX7Yz1bZ9XeMYegD6GQOX6LWSsh0qVM8icfuifBCVmneTVGpUTeb39D-4HKjJ8-adZlw0CxtDucAMAc4JgWOsKWnlVFjyPfUV6T4smc7WxF7pgFsWUfQKb2JVksLPVhRZVEwc=&xkcb=SoBN-_M3Nf96GUwFrR0ObzkdCdPP&p=5&fvj=1&vjs=3
Data Analytics Specialist,Acteon Group,,Remote in London EC3A,"Experience developing data models to aggregate data streams and delivering semantic layers to users.
Strong Python programming skills, focused on engineering…",https://uk.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DL_5QVVgyyuixUTjsjPhXLfT4f4OO-llX8k1DGfZ5MLYj7K8Zf306LVDZ-bkwMOSLjnT0hx3luZHlRa45-u_CS43jBkbwRBkf7nUeAuDjFD1QHvvQFknK9DcBzobOY6GUubbTCsXF3xK29QeU2Du5tGYjPU2gzzpghhqqz91AkTpBUnGQpS7VKNckq1LgP1KQEEn1S347AoP7oyojONdK0Nyn2cqj2G0D8uzLMHlHe3xX0gIn0f707DgVQmlVvGdNOxpnnHnTS0ceXJoEMQswxYpy2YrZeGeW9DwpHlNlFlvhz9ipwgOg706NRnX5MlwVK-iH-dOeSWnaYC7kO_Vqnb7ds0Req2xNZhnatSB0yGdZ2Q0ml9eGHOgnHbZ3wRFuc-TSYY08t3yBFTmbFJ9ytvc-crV3qIX3c6lPd_6I3obkA8wMtR58LF-FfR3_eXA9M5uFkU9SLcdu_s86vgW414WPVFBQaUyC_iUjUBVvzN_5afsWUcRf8MkfZdRWj4tt1fMoc8lYV8Haa3SoUNzvqEaOPT9zZLUIRHuwf5aie7dODOC1fcHPPZmffABFfZNGUgXdKlkL4pULl7s44gT-3WvtRWqGRXsY=&xkcb=SoDQ-_M3Nf96GUwFrR0NbzkdCdPP&p=6&fvj=0&vjs=3
Staff Data Scientist,BP Energy,,Remote in London WC2N,"Part of a cross-disciplinary team, working closely with other data scientists, data engineers software engineers, data managers and business partners.",https://uk.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AJuMufQUticbCEoYTKm6Qi4JXfmZ22JgbUMD2ChcmVNK_btDYk7qbI3EkAWN1MAV1D8zmxONbjWujLLY0IBpn4h3mEuq-3OE3Z6hM3UTX_LuUrxF3LA_YTDfgPB1-ToGLs9JSpFR-8qgkr9559zgP1jV6ygkCqC8LsAXuL7ONR9W3vtQOYwZlJfd-WkGkvLTWyzGN5W_3XooF7MB7Muwtlo_IJiiU9p8_XNf4EQGhJ6WhpMd-jTWHD1x-Vu9V-8sQlU_FzHnAvFwGmUA7Si5HYckgtPOUNvmSO4E1fw9LsM7ho0kjhjJt3cYxpukjTRTYYT52dy3HJsNyYdMlbW5FA5l-GG6scCKzt7fflyhKPDk9DRg4btfR6V6lkhbOIIPG2-CcuCOYVCNclqKyP2nAsGlWzvdli0H_B7ynIHA6W6OsRGvdoRflwiFQoSwHdX9RmzM7ilswNIIMb1MtOr0Jep7VKf_zaDQl-3ShbKirvsdQZ-K7ZxYSJse-URXn72wMSk-tYM1-fkA==&xkcb=SoBk-_M3Nf96GUwFrR0MbzkdCdPP&p=7&fvj=0&vjs=3
Data Scientist (Remote),Cord,,Remote in London,"Performance review in 6 months (Personal Development Plan).
25 days Holiday (excl. Bank Holidays).
Laptop (Mac or Windows machine whichever you prefer).",https://uk.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DG4ntHtB_rMsnfhgmnSvK2brktLme1L4SiDeJjQ-izrYiGf0WKIadx8Wo8_zzSZMY_DSbe4j975vaktATqldPaMq3fez1ZWr6Y0w09AdZF4GxEct0BAo6DFTOEyqxhCu9rZhVeFfoEty4WBI3nRolTB-ievZb17TaSCF54RtUU4SSWTz5Huhfe-H9bnEhjXLKK3tjPNC5VPIia-CZWLv_g04cqM77i-AgLmuUSBGkpug4y8eeILAoUT-SrHE_doIfvKSiOyaQWDQETt2AYhB1O5VWKPfAQSOSA4uP06b9mNPeDyo0SFibZBM5HOvRjJJtX2w6fHvzMbTBHvgIfLSJclPWrfO-8cEjzAayhDwHAkOjLA5X99TdXTHqAC_3JNUExAGxqAFmHWyY7TlYCKRMpKvE7BbF5UZQXzdK6egpkkDh-S2UWS6LA7CcvqwDkK5PqAmD1ffxDfqy_VMKm_1zBLDyYo8MeliuQj8X21dtgK3rGSolXmkT-yenEc3-J4kNOMHSLBtdUHaUYDMk89ZfQMlWxwWoTVDJOJBQzq6Ggy0owPJFmkSLUtKjJVnCqxJhGiz-DYEeJdjO5k57Jw_SPe9_pAvQ8h1MUwYuRY9UmhLEXGNOWy3QdzffqWtMrf_yEuNQ3okdz_6FLsq3OVoSBmqzEbmB7gGt0ASaDVNBQV2zjBhiL9Cv-_Aux2d2hqOmbZq6ofVKAvtDzKqW8FUGEUH-2IZbHcHxBL9k0GyHFJMZFa_G3pviHLUeqPX1KJUfBhB8WCT0XAd9TBKyCVDWzKCoUn010d5S906IcwwjNFcRXERpb-QZ1NMn8JARUt6Y3s8F2tigu2tgM0l4EnmiNWBeOvkEjUzQZwDKgZQQ3XBpWFnV7r06hXt1uW3168zNbu72OvKMiQYqVVFzzuYbtekGG0XK1eoSocl0g5nm4sI_2Fv644IBexd72wKhHVurSjQBGs936Ui8SD6Xn571Vk4CTocZqxi9Qa8fbp3lIrxDKAUGzhlOKzmIsoitWczOwjYReIOzIgJ40YixjfWLNrdtVgCWEXy70uvQc2WWljA==&xkcb=SoCN-_M3Nf96GUwFrR0DbzkdCdPP&p=8&fvj=0&vjs=3
Senior Data Analytics Manager,BCT Resourcing,,London EC2V,"Strong market credentials in data & analytics working with large organisations and an ability to demonstrate knowledge and insight in data management, data…",https://uk.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AuegQuxHf3iwprmb3e2M54KmKnwie0X5Zs1DuOu15t46nwgYotVy4rQE9CdKoPlRSsGZQPewWlI5HSfIO0gapBXTzcMyam8jcYGaPReCIehK4laZK4X0vn-yFYnayt_pZYdw8-soiMhlOFggLIjwyDHHCn3z2E7VxO5n1x894Xajs23IdUJiUB7z5JgixCsIFM3C-SJC9T44uw2G2k9n0D6dknFXqlkUFNWAlEAiN1rYwKwvCv7qCoyf9ku-T9QttGJyTdEHnHvTiS6KXxvcfoJuo7G67paA22LvJM90dA5kGagWY_-q_qoFF1Y6P9EqKztBhzFEJhBunVWn7q3dcMcTrmfji4PrikC_MVlzZncDNlKra0sB5Tqd7Q6wuoPBTHfuo028rFseKVr9ZEtxuFI7l_RHavy99TEThev8tlTZqsRXj3oPe7-1PwtXGPaEvLGGkviIX2oYfvOvvlETYk2t57nVgIIwNfpYwPNvfP9ENb-KPDdFCwrREyZVVXiMzEzDvZQmsC2LeUkmHrCOCfDBI7_lMTh8XfC9V_DvWqL6CY_qxTpKvUb7j6OVFRMzl6qWFsa8cexgKY5u5lC6vqzEF7o9nosms=&xkcb=SoA5-_M3Nf96GUwFrR0CbzkdCdPP&p=9&fvj=1&vjs=3
